ngay,ngan_hang,loai_giao_dich,tong_giao_dich,thanh_cong,that_bai,tong_so_tien,sr_phan_tram
2026-05-14 00:00:00,Vietcombank,Thanh toán,8899,8510,389,1399336,95.6
2026-05-14 00:00:00,Vietcombank,Nạp Tiền,2885,2769,116,604288,96.0
2026-05-14 00:00:00,Vietcombank,Rút tiền,2073,1981,92,714220,95.6
2026-05-14 00:00:00,Vietcombank,Chuyển tiền,1671,1589,82,1265324,95.1
2026-05-14 00:00:00,Techcombank,Thanh toán,6233,5982,251,878635,96.0
2026-05-14 00:00:00,Techcombank,Nạp Tiền,2375,2328,47,467354,98.0
2026-05-14 00:00:00,Techcombank,Rút tiền,1442,1408,34,535933,97.6
2026-05-14 00:00:00,Techcombank,Chuyển tiền,1227,1198,29,914784,97.6
2026-05-14 00:00:00,MB Bank,Thanh toán,5821,5683,138,812986,97.6
2026-05-14 00:00:00,MB Bank,Nạp Tiền,2132,2066,66,416160,96.9
2026-05-14 00:00:00,MB Bank,Rút tiền,1365,1353,12,487661,99.1
2026-05-14 00:00:00,MB Bank,Chuyển tiền,1187,1167,20,956480,98.3
2026-05-14 00:00:00,VietinBank,Thanh toán,5017,4663,354,721421,92.9
2026-05-14 00:00:00,VietinBank,Nạp Tiền,1869,1765,104,389093,94.4
2026-05-14 00:00:00,VietinBank,Rút tiền,1105,1046,59,407871,94.7
2026-05-14 00:00:00,VietinBank,Chuyển tiền,1031,977,54,885255,94.8
2026-05-14 00:00:00,BIDV,Thanh toán,4564,4319,245,703177,94.6
2026-05-14 00:00:00,BIDV,Nạp Tiền,1704,1607,97,330935,94.3
2026-05-14 00:00:00,BIDV,Rút tiền,1055,1012,43,382804,95.9
2026-05-14 00:00:00,BIDV,Chuyển tiền,929,884,45,694318,95.2
2026-05-14 00:00:00,VPBank,Thanh toán,4045,3846,199,592121,95.1
2026-05-14 00:00:00,VPBank,Nạp Tiền,1616,1560,56,326881,96.5
2026-05-14 00:00:00,VPBank,Rút tiền,980,952,28,361933,97.1
2026-05-14 00:00:00,VPBank,Chuyển tiền,886,856,30,752043,96.6
2026-05-14 00:00:00,ACB,Thanh toán,3826,3704,122,540726,96.8
2026-05-14 00:00:00,ACB,Nạp Tiền,1387,1368,19,267118,98.6
2026-05-14 00:00:00,ACB,Rút tiền,934,908,26,354003,97.2
2026-05-14 00:00:00,ACB,Chuyển tiền,863,828,35,640640,95.9
2026-05-14 00:00:00,Sacombank,Thanh toán,2336,2199,137,367710,94.1
2026-05-14 00:00:00,Sacombank,Nạp Tiền,855,814,41,167559,95.2
2026-05-14 00:00:00,Sacombank,Rút tiền,512,489,23,166237,95.5
2026-05-14 00:00:00,Sacombank,Chuyển tiền,511,472,39,371772,92.4
2026-05-14 00:00:00,TPBank,Thanh toán,1802,1745,57,251918,96.8
2026-05-14 00:00:00,TPBank,Nạp Tiền,722,705,17,131794,97.6
2026-05-14 00:00:00,TPBank,Rút tiền,461,453,8,160318,98.3
2026-05-14 00:00:00,TPBank,Chuyển tiền,413,408,5,354240,98.8
2026-05-14 00:00:00,Agribank,Thanh toán,1369,1308,61,189519,95.5
2026-05-14 00:00:00,Agribank,Nạp Tiền,565,541,24,119070,95.8
2026-05-14 00:00:00,Agribank,Rút tiền,344,323,21,118829,93.9
2026-05-14 00:00:00,Agribank,Chuyển tiền,328,305,23,274055,93.0
2026-05-15 00:00:00,Vietcombank,Thanh toán,8129,7984,145,1283234,98.2
2026-05-15 00:00:00,Vietcombank,Nạp Tiền,3019,2960,59,648543,98.0
2026-05-15 00:00:00,Vietcombank,Rút tiền,1946,1904,42,682143,97.8
2026-05-15 00:00:00,Vietcombank,Chuyển tiền,1757,1674,83,1479397,95.3
2026-05-15 00:00:00,Techcombank,Thanh toán,6169,6093,76,1003529,98.8
2026-05-15 00:00:00,Techcombank,Nạp Tiền,2043,1996,47,407668,97.7
2026-05-15 00:00:00,Techcombank,Rút tiền,1356,1338,18,510548,98.7
2026-05-15 00:00:00,Techcombank,Chuyển tiền,1438,1407,31,1090453,97.8
2026-05-15 00:00:00,MB Bank,Thanh toán,5635,5592,43,920806,99.2
2026-05-15 00:00:00,MB Bank,Nạp Tiền,2003,1979,24,425919,98.8
2026-05-15 00:00:00,MB Bank,Rút tiền,1468,1442,26,475343,98.2
2026-05-15 00:00:00,MB Bank,Chuyển tiền,1344,1311,33,1085909,97.5
2026-05-15 00:00:00,VietinBank,Thanh toán,4901,4621,280,750822,94.3
2026-05-15 00:00:00,VietinBank,Nạp Tiền,1792,1711,81,376697,95.5
2026-05-15 00:00:00,VietinBank,Rút tiền,1270,1185,85,427761,93.3
2026-05-15 00:00:00,VietinBank,Chuyển tiền,1182,1113,69,933893,94.2
2026-05-15 00:00:00,BIDV,Thanh toán,4704,4476,228,670024,95.2
2026-05-15 00:00:00,BIDV,Nạp Tiền,1550,1470,80,315475,94.8
